adenomatous: adenomat
melanocytoma: melanocytomas, melanocytomae
melanoma: melanomas, melanomae
meningioma: meningiomas, meningiomae
mesenchymoma: mesenchymomas, mesenchymomae
mesonephroma: mesonephromas, mesonephromae
mesothelioma: mesotheliomas, mesotheliomae
microcarcinoma: microcarcinomas, microcarcinomae
microglioma: microgliomas, microgliomae
myoblastoma: myoblastomas, myoblastomae
myosarcoma: myosarcomas, myosarcomae
myxoliposarcoma: myxoliposarcomas, myxoliposarcomae
myxosarcoma: myxosarcomas, myxosarcomae
nephroblastoma: nephroblastomas, nephroblastomae
nephroma: nephromas, nephromae
neurilemmosarcoma: neurilemmosarcomas, neurilemmosarcomae
neurilemoma: neurilemomas, neurilemomae
neuroastrocytoma: neuroastrocytomas, neuroastrocytomae
neuroblastoma: neuroblastomas, neuroblastomae
neurocytoma: neurocytomas, neurocytomae
neuroepithelioma: neuroepitheliomas, neuroepitheliomae
neurofibrosarcoma: neurofibrosarcomas, neurofibrosarcomae
neurolipocytoma: neurolipocytomas, neurolipocytomae
neurosarcoma: neurosarcomas, neurosarcomae
odontosarcoma: odontosarcomas, odontosarcomae
oligoastrocytoma: oligoastrocytomas, oligoastrocytomae
oligodendroblastoma: oligodendroblastomas, oligodendroblastomae
oligodendroglioma: oligodendrogliomas, oligodendrogliomae
orchioblastoma: orchioblastomas, orchioblastomae
osteoblastoma: osteoblastomas, osteoblastomae
osteochondrosarcoma: osteochondrosarcomas, osteochondrosarcomae
osteoclastoma: osteoclastomas, osteoclastomae
osteofibrosarcoma: osteofibrosarcomas, osteofibrosarcomae
osteosarcoma: osteosarcomas, osteosarcomae
pancreatoblastoma: pancreatoblastomas, pancreatoblastomae
paraganglioma: paragangliomas, paragangliomae
paragranuloma: paragranulomas, paragranulomae
perineurioma: perineuriomas, perineuriomae
pheochromoblastoma: pheochromoblastomas, pheochromoblastomae
pheochromocytoma: pheochromocytomas, pheochromocytomae
pilomatricoma: pilomatricomas, pilomatricomae
pilomatrixoma: pilomatrixomas, pilomatrixomae
pinealoma: pinealomas, pinealomae
pineoblastoma: pineoblastomas, pineoblastomae
pineocytoma-pineoblastoma: pineocytoma-pineoblastomas, pineocytoma-pineoblastomae
pineocytoma: pineocytomas, pineocytomae
plasmacytoma: plasmacytomas, plasmacytomae
pneumoblastoma: pneumoblastomas, pneumoblastomae
polyembryoma: polyembryomas, polyembryomae
pseudomyxoma: pseudomyxomas, pseudomyxomae
reticulosarcoma: reticulosarcomas, reticulosarcomae
retinoblastoma: retinoblastomas, retinoblastomae
rhabdomyosarcoma: rhabdomyosarcomas, rhabdomyosarcomae
sarcoma: sarcomas, sarcomae
sarcoma: sarcomas, sarcomae
schwannoma: schwannomas, schwannomae
seminoma: seminomas, seminomae
spermatocytoma: spermatocytomas, spermatocytomae
spiradenoma: spiradenomas, spiradenomae
spongioblastoma: spongioblastomas, spongioblastomae
spongioneuroblastoma: spongioneuroblastomas, spongioneuroblastomae
subependymoma-ependymoma: subependymoma-ependymomas, subependymoma-ependymomae
subependymoma: subependymomas, subependymomae
sympathicoblastoma: sympathicoblastomas, sympathicoblastomae
synovioma: synoviomas, synoviomae
syringadenocarcinoma: syringadenocarcinomas, syringadenocarcinomae
syringocystadenocarcinoma: syringocystadenocarcinomas, syringocystadenocarcinomae
syringoma: syringomas, syringomae
teratoblastoma: teratoblastomas, teratoblastomae
teratocarcinoma: teratocarcinomas, teratocarcinomae
teratoma: teratomas, teratomae
thecoma: thecomas, thecomae
thymoma: thymomas, thymomae
vipoma: vipomas, vipomae
xanthoastrocytoma: xanthoastrocytomas, xanthoastrocytomae






